nama,namaLatin,gambar,deskripsiSingkat,manfaat,caraPengolahan
Jahe,Zingiber officinale,web/images/jahe.webp,Rimpang populer sebagai rempah-rempah dan bahan obat.,"Meredakan mual, mengurangi peradangan, dan menghangatkan tubuh.",Direbus untuk dijadikan wedang atau dikeringkan menjadi bubuk.
Kunyit,Curcuma longa,web/images/kunyit.webp,Rimpang berwarna kuning pekat yang kaya akan kurkumin.,"Anti-inflamasi, antioksidan, dan baik untuk kesehatan lambung.",Diparut dan diperas untuk membuat jamu kunyit asam.
Lidah Buaya,Aloe vera,web/images/lidahbuaya.webp,Tanaman sukulen dengan daun tebal berisi gel bening.,"Melembapkan kulit, menyembuhkan luka bakar ringan.",Ambil gel di dalam daun dan oleskan langsung ke kulit.
Kencur,Kaempferia galanga,web/images/kencur.webp,Rimpang dengan aroma khas yang sering digunakan untuk jamu.,Meredakan batuk dan menambah nafsu makan.,Dihaluskan bersama beras untuk jamu beras kencur.
Cabai,Capsicum annuum,web/images/cabe.webp,Buah pedas yang populer sebagai bumbu.,Sebagai antioksidan dan membantu meredakan nyeri.,Dihaluskan menjadi sambal atau bumbu masakan.
Bawang Merah,Allium cepa,web/images/bawang_merah.webp,Umbi yang menjadi bumbu dasar di berbagai masakan.,Sumber serat dan kaya akan antioksidan.,Dihaluskan sebagai bumbu dasar atau dibuat bawang goreng. Dijadikan sebagai acar
Sereh / Serai,Cymbopogon citratus,web/images/sereh.webp,Tanaman rumput dengan aroma lemon yang khas.,Mengurangi peradangan dan meredakan batuk.,Digeprek dan direbus untuk minuman atau sebagai bumbu.
Daun Pepaya,Carica papaya,web/images/daun_pepaya.webp,Daun dari pohon pepaya yang dikenal memiliki rasa pahit.,Meningkatkan kekebalan tubuh.,Direbus sebagai lalapan atau ditumis.
Jeruk Purut,Citrus hystrix,web/images/jeruk_purut.webp,Jeruk dengan kulit keriput dan aroma yang sangat kuat.,Baik untuk kekebalan tubuh dan melancarkan pencernaan.,Daun dan kulitnya digunakan sebagai penyedap masakan.
Bayam,Amaranthus spp.,web/images/bayam.webp,Sayuran hijau yang kaya akan zat besi.,Sumber vitamin K dan mengandung folat.,Direbus sebentar untuk sayur bening atau ditumis.
Kangkung,Ipomoea aquatica,web/images/kangkung.webp,Sayuran air yang populer untuk masakan tumis.,Mencegah anemia dan melindungi kesehatan mata.,Ditumis dengan bumbu bawang putih atau terasi.
Jahe Merah,Zingiber officinale var. rubrum,web/images/jahe_merah.webp,Varian jahe dengan rimpang kemerahan dan rasa lebih pedas.,Baik untuk kekebalan tubuh.,Direbus untuk dibuat minuman herbal (wedang).
Daun Jeruk,Citrus hystrix,web/images/Daun_Jeruk.webp,"Daun dengan aroma segar yang khas, sering digunakan pada masakan.",Meningkatkan kesehatan mulut dan membantu membersihkan darah.,Diremas dan dimasukkan ke dalam bumbu masakan atau diseduh sebagai teh herbal.
